Academic Year ,LSS Number ,LSS Name ,School Number ,School Name ,Student Group ,Tested Count ,Proficient Count , Proficient Percent ,Create Date 
2020,02,Anne Arundel,4122,Davidsonville Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4142,Eastport Elementary,All,97,6,6.2,20230914
2020,02,Anne Arundel,4142,Eastport Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4152,Edgewater Elementary,All,79,18,22.8,20230914
2020,02,Anne Arundel,4152,Edgewater Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4162,Georgetown East Elementary,All,69,10,14.5,20230914
2020,02,Anne Arundel,4162,Georgetown East Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4182,Germantown Elementary,All,165,14,8.5,20230914
2020,02,Anne Arundel,4182,Germantown Elementary,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,4192,Hillsmere Elementary,All,32,5,15.6,20230914
2020,02,Anne Arundel,4192,Hillsmere Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4202,Lothian Elementary,All,86,16,18.6,20230914
2020,02,Anne Arundel,4202,Lothian Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4212,Mayo Elementary,All,11,4,36.4,20230914
2020,02,Anne Arundel,4222,Walter S. Mills - Parole Elementary,All,233,30,12.9,20230914
2020,02,Anne Arundel,4222,Walter S. Mills - Parole Elementary,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,4232,Rolling Knolls Elementary,All,99,16,16.2,20230914
2020,02,Anne Arundel,4232,Rolling Knolls Elementary,Students with Disabilities,13,2,15.4,20230914
2020,02,Anne Arundel,4242,Shady Side Elementary,All,*,*,*,20230914
2020,02,Anne Arundel,4252,Traceys Elementary,All,80,11,13.8,20230914
2020,02,Anne Arundel,4252,Traceys Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4262,Tyler Heights Elementary,All,336,24,7.1,20230914
2020,02,Anne Arundel,4262,Tyler Heights Elementary,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,4272,West Annapolis Elementary,All,19,2,10.5,20230914
2020,02,Anne Arundel,4272,West Annapolis Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4283,Central Middle,All,32,*,<= 5.0,20230914
2020,02,Anne Arundel,4283,Central Middle,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4293,South River High,All,55,*,<= 5.0,20230914
2020,02,Anne Arundel,4293,South River High,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,4304,Central Special School,All,*,*,*,20230914
2020,02,Anne Arundel,4304,Central Special School,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,6113,Monarch Global Academy PCS Laurel Campus,All,104,9,8.7,20230914
2020,02,Anne Arundel,6113,Monarch Global Academy PCS Laurel Campus,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,6123,Monarch Academy Annapolis ES,All,100,12,12.0,20230914
2020,02,Anne Arundel,6123,Monarch Academy Annapolis ES,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,6223,Chesapeake Science Point,All,*,*,*,20230914
2020,02,Anne Arundel,6233,Monarch Academy,All,*,*,*,20230914
2020,02,Anne Arundel,6233,Monarch Academy,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,A,All Anne Arundel Schools,All,6562,675,10.3,20230914
2020,02,Anne Arundel,A,All Anne Arundel Schools,Students with Disabilities,693,*,<= 5.0,20230914
2020,03,Baltimore County,0051,Northwest EDLP at Milford Mill Academy,All,*,*,*,20230914
2020,03,Baltimore County,0052,Southwest EDLP at Woodlawn High School,All,*,*,*,20230914
2020,03,Baltimore County,0053,Northeast EDLP at Parkville High School,All,*,*,*,20230914
2020,03,Baltimore County,0055,Southeast EDLP at Dundalk High School,All,*,*,*,20230914
2020,03,Baltimore County,0058,Home Assignments-Secondary,All,*,*,*,20230914
2020,03,Baltimore County,0062,Campfield Early Childhood Center,All,19,1,5.3,20230914
2020,03,Baltimore County,0062,Campfield Early Childhood Center,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0069,Catonsville Center for Alternative Studies,All,*,*,*,20230914
2020,03,Baltimore County,0072,Rosedale Center,All,*,*,*,20230914
2020,03,Baltimore County,0072,Rosedale Center,Students with Disabilities,*,*,*,20230914
2020,03,Baltimore County,0075,Crossroads Center,All,*,*,*,20230914
2020,03,Baltimore County,0077,BCDC Educational Center,All,*,*,*,20230914
2020,03,Baltimore County,0101,Catonsville Elementary,All,58,10,17.2,20230914
2020,03,Baltimore County,0101,Catonsville Elementary,Students with Disabilities,*,*,*,20230914
